Start Date:,30-04-2025_10.25.11
Bench number:,86
Computer name:,FRF23050189
Test equipment:,CM.33
Script name:,Endurance_Test
Script version:,0.0d
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test
Test operator name:,Daniel Lobato
Test Request: ,TR.EL24.06823
Test name: ,3_PTL - k-16
Part number: ,-1
VLIMS number: ,SS 2#17
Serial Number: ,
SW Version: ,-1
HW Version: ,-1
Criteria: ,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A]
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A]
Current Value Wake Mode High Value Range - 17V: ,1.632[A]
Current Value Wake Mode Low Value Range - 17V: ,0.78[A]
Current Value Wake Mode High Value Range - 8V: ,3.58[A]
Current Value Wake Mode Low Value Range - 8V: ,1.69[A]
Current Value Sleep Mode: ,100[mA]

No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
98,30/04/2025  13:39:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384489,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
99,30/04/2025  13:40:18,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000037717,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
100,30/04/2025  13:41:23,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380442,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
101,30/04/2025  13:42:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000039,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
102,30/04/2025  13:43:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373553,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
103,30/04/2025  13:44:37,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000387934,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
104,30/04/2025  13:45:42,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000362617,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
105,30/04/2025  13:46:47,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384231,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
106,30/04/2025  13:47:52,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000392325,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
107,30/04/2025  13:48:56,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000385609,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
108,30/04/2025  13:50:01,Sleep Mode,999.9,999.9,5/Operating Max Mode,12.5,0.0000364081,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
109,30/04/2025  13:56:33,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.659407,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,50,50,False,True,-1,-1,-1,-1,-1,
