Start Date:,30-04-2025_10.25.11
Bench number:,86
Computer name:,FRF23050189
Test equipment:,CM.33
Script name:,Endurance_Test
Script version:,0.0d
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test
Test operator name:,Daniel Lobato
Test Request: ,TR.EL24.06823
Test name: ,3_PTL - k-16
Part number: ,-1
VLIMS number: ,SS 1#22
Serial Number: ,
SW Version: ,-1
HW Version: ,-1
Criteria: ,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A]
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A]
Current Value Wake Mode High Value Range - 17V: ,1.632[A]
Current Value Wake Mode Low Value Range - 17V: ,0.78[A]
Current Value Wake Mode High Value Range - 8V: ,3.58[A]
Current Value Wake Mode Low Value Range - 8V: ,1.69[A]
Current Value Sleep Mode: ,100[mA]

No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
78,30/04/2025  13:17:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000340314,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
79,30/04/2025  13:18:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003435,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
80,30/04/2025  13:19:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000303286,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
81,30/04/2025  13:21:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000366836,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
82,30/04/2025  13:22:05,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000360636,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
83,30/04/2025  13:23:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000362531,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
84,30/04/2025  13:24:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367956,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
85,30/04/2025  13:25:11,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000354867,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
86,30/04/2025  13:26:16,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000375878,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
87,30/04/2025  13:27:21,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000345739,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
88,30/04/2025  13:28:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000392239,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
89,30/04/2025  13:29:30,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000037407,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
90,30/04/2025  13:30:35,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373036,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
91,30/04/2025  13:31:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000382595,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
92,30/04/2025  13:32:44,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003714,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
93,30/04/2025  13:33:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000037605,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
94,30/04/2025  13:34:54,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000362961,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
95,30/04/2025  13:35:59,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000382853,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
96,30/04/2025  13:37:04,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000350647,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
97,30/04/2025  13:38:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000390086,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
98,30/04/2025  13:39:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000353144,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
99,30/04/2025  13:40:18,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000376481,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
100,30/04/2025  13:41:23,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000349269,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
101,30/04/2025  13:42:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000378117,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
102,30/04/2025  13:43:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000379409,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
103,30/04/2025  13:44:37,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000369247,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
