Name of the script:,Incoming_Test(5_point_Meas)_Bench25
Start Date:,1/16/2024 4:40:09 PM
S/N :,109660702
Operator Name:,ErikNakov
DUT Var:,DN5
Description of this test:,IncommingTest_5-points
DUT Ref:,DUT1#2_DN7(7-inch)
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming,
41,1/16/2024 17:52:23,Off Mode,47.3,-41.0,0.0,01/16/2024  17:51:16,0.000045,01/16/2024  17:51:16,0,01/16/2024  17:50:51,-1,01/16/2024  17:50:47,,01/16/2024  17:50:47,-2,No response,01/16/2024  17:51:02,Inactive,Active,0,
42,1/16/2024 17:54:06,Off Mode,47.8,-41.1,0.0,01/16/2024  17:52:59,0.000042,01/16/2024  17:52:59,0,01/16/2024  17:52:34,-1,01/16/2024  17:52:30,,01/16/2024  17:52:30,-2,No response,01/16/2024  17:52:45,Inactive,Active,0,
43,1/16/2024 17:55:49,Off Mode,48.3,-41.0,0.0,01/16/2024  17:54:42,0.000047,01/16/2024  17:54:42,0,01/16/2024  17:54:17,-1,01/16/2024  17:54:13,,01/16/2024  17:54:13,-2,No response,01/16/2024  17:54:28,Inactive,Active,0,
44,1/16/2024 17:57:32,Off Mode,48.8,-41.0,0.0,01/16/2024  17:56:25,0.000047,01/16/2024  17:56:25,0,01/16/2024  17:56:00,-1,01/16/2024  17:55:56,,01/16/2024  17:55:56,-2,No response,01/16/2024  17:56:11,Inactive,Active,0,
45,1/16/2024 17:59:15,Off Mode,49.2,-41.0,0.0,01/16/2024  17:58:08,0.00004,01/16/2024  17:58:08,0,01/16/2024  17:57:43,-1,01/16/2024  17:57:39,,01/16/2024  17:57:39,-2,No response,01/16/2024  17:57:54,Inactive,Active,0,
46,1/16/2024 18:00:58,Off Mode,49.6,-41.0,0.0,01/16/2024  17:59:51,0.000047,01/16/2024  17:59:51,0,01/16/2024  17:59:26,-1,01/16/2024  17:59:22,,01/16/2024  17:59:22,-2,No response,01/16/2024  17:59:37,Inactive,Active,0,
47,1/16/2024 18:02:42,Off Mode,49.9,-41.0,0.0,01/16/2024  18:01:34,0.000043,01/16/2024  18:01:34,0,01/16/2024  18:01:09,-1,01/16/2024  18:01:06,,01/16/2024  18:01:06,-2,No response,01/16/2024  18:01:20,Inactive,Active,0,
48,1/16/2024 18:04:25,Off Mode,50.2,-41.0,0.0,01/16/2024  18:03:18,0.00005,01/16/2024  18:03:18,0,01/16/2024  18:02:53,-1,01/16/2024  18:02:49,,01/16/2024  18:02:49,-2,No response,01/16/2024  18:03:04,Inactive,Active,0,
49,1/16/2024 18:06:08,Off Mode,50.4,-41.0,0.0,01/16/2024  18:05:00,0.000046,01/16/2024  18:05:00,0,01/16/2024  18:04:36,-1,01/16/2024  18:04:32,,01/16/2024  18:04:32,-2,No response,01/16/2024  18:04:47,Inactive,Active,0,
50,1/16/2024 18:07:51,Off Mode,50.7,-41.0,0.0,01/16/2024  18:06:44,0.000046,01/16/2024  18:06:44,0,01/16/2024  18:06:19,-1,01/16/2024  18:06:15,,01/16/2024  18:06:15,-2,No response,01/16/2024  18:06:30,Inactive,Active,0,
51,1/16/2024 18:09:33,Off Mode,50.8,-41.0,0.0,01/16/2024  18:08:26,0.000047,01/16/2024  18:08:26,0,01/16/2024  18:08:01,-1,01/16/2024  18:07:58,,01/16/2024  18:07:58,-2,No response,01/16/2024  18:08:13,Inactive,Active,0,
52,1/16/2024 18:11:27,Wake Mode,51.0,-41.0,8.0,01/16/2024  18:10:20,0.176063,01/16/2024  18:10:20,0,01/16/2024  18:10:00,0,01/16/2024  18:09:45,921B07 - 900300 - DF0000 - ,01/16/2024  18:09:55,0,Default Value,01/16/2024  18:10:06,Inactive,Active,1,
53,1/16/2024 18:12:51,Wake Mode,51.3,-40.9,8.0,01/16/2024  18:11:44,0.341473,01/16/2024  18:11:44,0,01/16/2024  18:10:00,0,01/16/2024  18:09:45,921B07 - 900300 - DF0000 - ,01/16/2024  18:09:55,0,Default Value,01/16/2024  18:10:06,Inactive,Active,50,
54,1/16/2024 18:14:15,Wake Mode,51.3,-40.9,8.0,01/16/2024  18:13:08,0.495116,01/16/2024  18:13:08,0,01/16/2024  18:10:00,0,01/16/2024  18:09:45,921B07 - 900300 - DF0000 - ,01/16/2024  18:09:55,0,Default Value,01/16/2024  18:10:06,Inactive,Active,100,
55,1/16/2024 18:16:15,Off Mode,51.4,-40.9,0.0,01/16/2024  18:15:08,0.000045,01/16/2024  18:15:08,0,01/16/2024  18:14:43,-1,01/16/2024  18:14:28,,01/16/2024  18:14:40,-2,No response,01/16/2024  18:14:54,Inactive,Active,0,
56,1/16/2024 18:18:09,Wake Mode,51.5,-40.9,16.0,01/16/2024  18:17:02,0.147744,01/16/2024  18:17:02,0,01/16/2024  18:16:42,0,01/16/2024  18:16:27,921B07 - 900300 - DF0000 - ,01/16/2024  18:16:37,0,Default Value,01/16/2024  18:16:48,Inactive,Active,1,
57,1/16/2024 18:19:34,Wake Mode,51.6,-40.8,16.0,01/16/2024  18:18:26,0.222049,01/16/2024  18:18:26,0,01/16/2024  18:16:42,0,01/16/2024  18:16:27,921B07 - 900300 - DF0000 - ,01/16/2024  18:16:37,0,Default Value,01/16/2024  18:16:48,Inactive,Active,50,
