Name of the script:,Incoming_Test(5_point_Meas)_Bench25,,,,,,,,,,,,,,,,,,,
Start Date:,1/16/2024 16:40,,,,,,,,,,,,,,,,,,,
S/N :,109660701,,,,,,,,,,,,,,,,,,,
Operator Name:,ErikNakov,,,,,,,,,,,,,,,,,,,
DUT Var:,DN5,,,,,,,,,,,,,,,,,,,
Description of this test:,IncommingTest_5-points,,,,,,,,,,,,,,,,,,,
DUT Ref:,DUT1#1_DN7(7-inch),,,,,,,,,,,,,,,,,,,
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming
51,1/16/2024 18:09,Off Mode,50.8,-41,0,1/16/2024 18:08,0.000045,1/16/2024 18:08,0,1/16/2024 18:08,-1,1/16/2024 18:07,,1/16/2024 18:07,-2,No response,1/16/2024 18:08,Inactive,Active,0
52,1/16/2024 18:11,Wake Mode,51,-41,8,1/16/2024 18:10,0.179003,1/16/2024 18:10,0,1/16/2024 18:10,0,1/16/2024 18:09,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:09,0,Default Value,1/16/2024 18:10,Inactive,Active,1
53,1/16/2024 18:12,Wake Mode,51.3,-40.9,8,1/16/2024 18:11,0.34569,1/16/2024 18:11,0,1/16/2024 18:10,0,1/16/2024 18:09,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:09,0,Default Value,1/16/2024 18:10,Inactive,Active,50
54,1/16/2024 18:14,Wake Mode,51.3,-40.9,8,1/16/2024 18:12,0.514636,1/16/2024 18:12,0,1/16/2024 18:10,0,1/16/2024 18:09,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:09,0,Default Value,1/16/2024 18:10,Inactive,Active,100
55,1/16/2024 18:16,Off Mode,51.4,-40.9,0,1/16/2024 18:15,0.000049,1/16/2024 18:15,0,1/16/2024 18:14,-1,1/16/2024 18:14,,1/16/2024 18:14,-2,No response,1/16/2024 18:14,Inactive,Active,0
56,1/16/2024 18:18,Wake Mode,51.5,-40.9,16,1/16/2024 18:16,0.151934,1/16/2024 18:16,0,1/16/2024 18:16,0,1/16/2024 18:16,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:16,0,Default Value,1/16/2024 18:16,Inactive,Active,1
57,1/16/2024 18:19,Wake Mode,51.6,-40.8,16,1/16/2024 18:18,0.230387,1/16/2024 18:18,0,1/16/2024 18:16,0,1/16/2024 18:16,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:16,0,Default Value,1/16/2024 18:16,Inactive,Active,50
58,1/16/2024 18:20,Wake Mode,51.5,-40.8,16,1/16/2024 18:19,0.299912,1/16/2024 18:19,0,1/16/2024 18:16,0,1/16/2024 18:16,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 18:16,0,Default Value,1/16/2024 18:16,Inactive,Active,100
59,1/16/2024 18:22,Off Mode,51.5,-40.8,0,1/16/2024 18:21,0.000045,1/16/2024 18:21,0,1/16/2024 18:21,-1,1/16/2024 18:21,,1/16/2024 18:21,-2,No response,1/16/2024 18:21,Inactive,Active,0
60,1/16/2024 18:24,Off Mode,53.9,-39.6,0,1/16/2024 18:23,0.000042,1/16/2024 18:23,0,1/16/2024 18:23,-1,1/16/2024 18:23,,1/16/2024 18:23,-2,No response,1/16/2024 18:23,Inactive,Active,0
61,1/16/2024 18:26,Off Mode,59,-36.9,0,1/16/2024 18:25,0.000044,1/16/2024 18:25,0,1/16/2024 18:24,-1,1/16/2024 18:24,,1/16/2024 18:24,-2,No response,1/16/2024 18:25,Inactive,Active,0
62,1/16/2024 18:28,Off Mode,65.4,-33.7,0,1/16/2024 18:26,0.000047,1/16/2024 18:26,0,1/16/2024 18:26,-1,1/16/2024 18:26,,1/16/2024 18:26,-2,No response,1/16/2024 18:26,Inactive,Active,0
63,1/16/2024 18:29,Off Mode,71.5,-30.4,0,1/16/2024 18:28,0.000045,1/16/2024 18:28,0,1/16/2024 18:28,-1,1/16/2024 18:28,,1/16/2024 18:28,-2,No response,1/16/2024 18:28,Inactive,Active,0
64,1/16/2024 18:31,Off Mode,76.4,-27.1,0,1/16/2024 18:30,0.000042,1/16/2024 18:30,0,1/16/2024 18:29,-1,1/16/2024 18:29,,1/16/2024 18:29,-2,No response,1/16/2024 18:30,Inactive,Active,0
65,1/16/2024 18:33,Off Mode,79.3,-23.7,0,1/16/2024 18:31,0.000042,1/16/2024 18:31,0,1/16/2024 18:31,-1,1/16/2024 18:31,,1/16/2024 18:31,-2,No response,1/16/2024 18:31,Inactive,Active,0
66,1/16/2024 18:34,Off Mode,80.3,-20.4,0,1/16/2024 18:33,0.000048,1/16/2024 18:33,0,1/16/2024 18:33,-1,1/16/2024 18:33,,1/16/2024 18:33,-2,No response,1/16/2024 18:33,Inactive,Active,0
67,1/16/2024 18:36,Off Mode,80.4,-17.1,0,1/16/2024 18:35,0.000045,1/16/2024 18:35,0,1/16/2024 18:34,-1,1/16/2024 18:34,,1/16/2024 18:34,-2,No response,1/16/2024 18:35,Inactive,Active,0
68,1/16/2024 18:38,Off Mode,77.1,-13.8,0,1/16/2024 18:36,0.000046,1/16/2024 18:36,0,1/16/2024 18:36,-1,1/16/2024 18:36,,1/16/2024 18:36,-2,No response,1/16/2024 18:36,Inactive,Active,0
69,1/16/2024 18:39,Off Mode,72.3,-10.5,0,1/16/2024 18:38,0.000045,1/16/2024 18:38,0,1/16/2024 18:38,-1,1/16/2024 18:38,,1/16/2024 18:38,-2,No response,1/16/2024 18:38,Inactive,Active,0
70,1/16/2024 18:41,Off Mode,68.7,-7.2,0,1/16/2024 18:40,0.00004,1/16/2024 18:40,0,1/16/2024 18:40,-1,1/16/2024 18:39,,1/16/2024 18:39,-2,No response,1/16/2024 18:40,Inactive,Active,0
71,1/16/2024 18:43,Off Mode,66.3,-3.9,0,1/16/2024 18:42,0.000046,1/16/2024 18:42,0,1/16/2024 18:41,-1,1/16/2024 18:41,,1/16/2024 18:41,-2,No response,1/16/2024 18:41,Inactive,Active,0
72,1/16/2024 18:44,Off Mode,64.9,-0.6,0,1/16/2024 18:43,0.000045,1/16/2024 18:43,0,1/16/2024 18:43,-1,1/16/2024 18:43,,1/16/2024 18:43,-2,No response,1/16/2024 18:43,Inactive,Active,0
73,1/16/2024 18:46,Off Mode,62.8,2.8,0,1/16/2024 18:45,0.000046,1/16/2024 18:45,0,1/16/2024 18:45,-1,1/16/2024 18:45,,1/16/2024 18:45,-2,No response,1/16/2024 18:45,Inactive,Active,0
74,1/16/2024 18:48,Off Mode,60.3,6.1,0,1/16/2024 18:47,0.000045,1/16/2024 18:47,0,1/16/2024 18:46,-1,1/16/2024 18:46,,1/16/2024 18:46,-2,No response,1/16/2024 18:46,Inactive,Active,0
75,1/16/2024 18:50,Off Mode,57.3,9.4,0,1/16/2024 18:48,0.000044,1/16/2024 18:48,0,1/16/2024 18:48,-1,1/16/2024 18:48,,1/16/2024 18:48,-2,No response,1/16/2024 18:48,Inactive,Active,0
76,1/16/2024 18:51,Off Mode,54.7,12.7,0,1/16/2024 18:50,0.000047,1/16/2024 18:50,0,1/16/2024 18:50,-1,1/16/2024 18:50,,1/16/2024 18:50,-2,No response,1/16/2024 18:50,Inactive,Active,0
77,1/16/2024 18:53,Off Mode,52.6,16.1,0,1/16/2024 18:52,0.000049,1/16/2024 18:52,0,1/16/2024 18:51,-1,1/16/2024 18:51,,1/16/2024 18:51,-2,No response,1/16/2024 18:52,Inactive,Active,0
78,1/16/2024 18:55,Off Mode,52.2,18.7,0,1/16/2024 18:53,0.000045,1/16/2024 18:53,0,1/16/2024 18:53,-1,1/16/2024 18:53,,1/16/2024 18:53,-2,No response,1/16/2024 18:53,Inactive,Active,0
79,1/16/2024 18:56,Off Mode,53.9,20,0,1/16/2024 18:55,0.000045,1/16/2024 18:55,0,1/16/2024 18:55,-1,1/16/2024 18:55,,1/16/2024 18:55,-2,No response,1/16/2024 18:55,Inactive,Active,0
80,1/16/2024 18:58,Off Mode,56.5,20.8,0,1/16/2024 18:57,0.000045,1/16/2024 18:57,0,1/16/2024 18:56,-1,1/16/2024 18:56,,1/16/2024 18:56,-2,No response,1/16/2024 18:57,Inactive,Active,0
81,1/16/2024 19:00,Off Mode,58.9,21.3,0,1/16/2024 18:58,0.000046,1/16/2024 18:58,0,1/16/2024 18:58,-1,1/16/2024 18:58,,1/16/2024 18:58,-2,No response,1/16/2024 18:58,Inactive,Active,0
